CATEGORY,ITEMS,PRICE,QUANTITY
CAKES,GERMAN FUDGE CAKE,1100,0
CAKES,THREE MILK CAKE ,1500,0
CAKES,FERRERO ROCHER CAKE,1300,0
CAKES,CARROT GLAZE CAKE ,1000,0
CAKES,LOTUS BISCOFF CAKE,1500,0
CAKES,RED VELVET CAKE,1500,0
CAKES,CLASSIC CHEESECAKE,2000,0
BROWNIES,PEANUT BUTTER  BROWNIE,110,0
BROWNIES,BELGIAN BROWNIE,100,0
BROWNIES,CHOCOLATE BROWNIE,150,0
BROWNIES,NUTELLA BROWNIE,150,0
BROWNIES,TOFFEE CRUNCH BROWNIE,100,0
CUPCAKES,RED VELVET CUPCAKE,100,0
CUPCAKES,LOTUS BISCOFF CUPCAKE,150,0
CUPCAKES,FUNFETTI CUPCAKE,150,0
CUPCAKES,VANILLA OREO CUPCAKE,150,0
CUPCAKES,CARAMEL CUPCAKE,150,0
CUPCAKES,COFFEE GLAZE CUPCAKE,150,0
COOKIES,CHOCOLATE CHIP COOKIE,120,0
COOKIES,OATS AND RAISIN COOKIE,120,0
COOKIES,VANILLA OREO COOKIE,120,0
COOKIES,NUTELLA FILLED COOKIE,170,0
COOKIES,DARK CHOCOLATE COOKIE,120,0
COOKIES,SHORTBREAD COOKIE,150,0
SAVOURIES,MINI CHICKEN BURGER,150,0
SAVOURIES,CHICKEN CHEESE CUTLET,60,0
SAVOURIES,CHICKEN CHEESE PATTIES,60,0
SAVOURIES,CHICKEN CHEESE ROLL,60,0
SAVOURIES,STUFFED PIZZA ROLL,100,0
SAVOURIES,CHINESE SPRING ROLL,60,0
SAVOURIES,CHINESE EGG ROLL,60,0
SAVOURIES,CHICKEN CHEESE PIE,80,0
SAVOURIES,FAJITA CLUB SANDWICH,150,0
BREADS,WHITE BREAD (small),60,0
BREADS,BRAN BREAD (small),90,0
BREADS,PITA BREAD (5 pcs),80,0
BREADS,MULTIGRAIN BREAD (small),100,0
BREADS,MILKY BREAD (small),120,0
BREADS,GARLIC BREAD (4 pcs),320,0
BREADS,CROISSANTS (4 pcs) ,450,0
